variant_name,canonical_name,confidence,source
Jocelyn Sandoval Dallas,Jocelyn Sandoval,medium,alias
Jody Welch,Jody Badger Welch,medium,alias
Joe Hollywood Lepley,Joe Lepley,medium,alias
Jon Proano,Jon Proańo,high,manual
Jonathan Ethier,Jonathan Éthier,high,manual
Jonay Diaz,Jonay Díaz,high,manual
Jorge Ramirez,Jorge Ramírez,high,manual
Joseba Fernandez,Joseba Fernández,high,manual
Joso Palencar,Joso Palencár,high,manual
Josue Vivas,Josué Vivas,high,manual
Jose Bolivar,José Bolívar,high,manual
Jose Cocolan,José Cocolan,high,manual
Jose Goncalves,José Goncalves,high,manual
Jose Palacios,José Palacios,high,manual
Jose Vargas Centeno,José Vargas Centeno,high,manual
Jose Angel,José Ángel,high,manual
Jouni Niemela,Jouni Niemelä,high,manual
Joel Murray,Joël Murray,high,manual
Juan Palacios Lemos,Juan Bernardo Palacios Lemos,medium,alias
Jule Bohm,Jule Böhm,high,manual
Julia Bohm,Julia Böhm,high,manual
Julien Guil Romiti,Julien Romiti,medium,alias
Jerome Charette-Pepin,Jérôme Charette-Pépin,high,manual
Jerome Cinquante,Jérôme Cinquante,high,manual
Jedrzej Jurek,Jędrzej Jurek,high,manual
Kacper Predkiewicz,Kacper Prędkiewicz,high,manual
Kamil Burzynski,Kamil Burzyński,high,manual
Karel Hudecek,Karel Hudeček,high,manual
Kelly A. Kelley,Kelly Kelley,medium,alias
Khalil Doring,Khalil Döring,high,manual
Kinga Gwzdz,Kinga Gwźdź,high,manual
Kiss + Gyani,Kiss + Gyáni,high,manual
Klemenz Langauer,Klemenz Längauer,high,manual
Krzysztof Sobotka,Krzysztof Sobótka,high,manual
Krol Tomasz,Król Tomasz,high,manual
Laura Choueri,Laura Chouèri,high,manual
Lee Sickle,Lee Van Sickle,medium,alias
Lisa Ubele,Lisa Übele,high,manual
Luka W.-Lavallee,Luka W.-Lavallée,high,manual
Luka Weyler-Lavalle,Luka Weyler,high,display_name
Luka Weyler-Lavallée,Luka Weyler,high,display_name
Luka-Jean Francois Belanger,Luka-Jean François Bélanger,high,manual
Łukasz Domin,Lukasz Domin,high,display_name
Lukas Blazek,Lukáš Blažek,high,manual
Luis Martinez,Luís Martínez,high,manual
Luis Alberto Sarmiento,Luís Sarmiento,medium,alias
Luis Sarmiento,Luís Sarmiento,high,manual
Laszlo Czako,László Czakó,high,manual
Lea Lesperance,Léa Lespérance,high,manual
Léa L'Espérance,Léa Lespérance,high,display_name
Magorzata Oledzka,Magorzata Olędzka,high,manual
Magyar Balint,Magyar Bálint,high,manual
Marc-Andre Sabourin,Marc-André Sabourin,high,manual
Marc-Andre Veillette,Marc-André Veillette,high,manual
Marco Dobeli,Marco Döbeli,high,manual
Marek Sandrik,Marek Šandrik,high,manual
