event_key,discipline_key,placement,original_display,corrected_player_a,corrected_player_b,correction_type,source_note,active,verification_level,verified_by,confidence
2001_vancouver,open_doubles_net,8,,Rick Bates,Chard Cook,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,9,,Steve Dusablon,Kimball Isaacson,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,10,,Jan Zimmermann,Patrick Schrickel,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,11,,Jared Clark,Jody Rusnak,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,open_doubles_net,12,,Simon Hearsey,Mike Stefanelli,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,mixed_doubles_net,1,,Maude Landreville,Andy Ronald,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,mixed_doubles_net,2,,Katia Couture,James Holkko,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,mixed_doubles_net,3,,Leanne Makcrow,Iain McKechnie,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,mixed_doubles_net,4,,Darlene Goodridge,Jim Derricott,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,intermediate_doubles_net,1,,Darlene Goodridge,Francois Leh,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,intermediate_doubles_net,2,,Leanne Makcrow,Marc Studhalter,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2001_vancouver,intermediate_doubles_net,3,,Tetsu Hiruta,Reaon Ford,MISSING_PARTNER,Mirror source,1,source_verified,,HIGH
2024_worlds_montreal,mixed_doubles_net,7,,Grischa Tellenbach,Audrey Tumelin,MISSING_PARTNER,User confirmed + co-occurrence (27x),1,human_verified,,HIGH
2022_worlds_krakow,open_doubles_net,6,,Chris Seibert,Grischa Tellenbach,MISSING_PARTNER,User confirmed,1,human_verified,,HIGH
2015_worlds_copenhagen,open_doubles_net,10,,Jyri Ilama,Jean-Francois Lemieux,MISSING_PARTNER,User confirmed,1,human_verified,,HIGH
2015_worlds_copenhagen,open_doubles_net,32,,Boris Ollivier,Jean-Marie Letort,MISSING_PARTNER,User confirmed,1,human_verified,,HIGH
2015_worlds_copenhagen,open_mixed_doubles_net,7,,Emmanuelle Vincendeau,Jean-Francois Lemieux,MISSING_PARTNER,User confirmed,1,human_verified,,HIGH
2015_worlds_copenhagen,open_mixed_doubles_net,10,,Tammo Rockel,Marie-Lou Roy,MISSING_PARTNER,User confirmed,1,human_verified,,HIGH
2015_worlds_copenhagen,womens_doubles_net,4,,Marilyn Demuy,Marie-Lou Roy,MISSING_PARTNER,User confirmed,1,human_verified,,HIGH
2014_worlds_paris,open_doubles_net,15,,Sébastien Maillet,Jean-Francois Lemieux,MISSING_PARTNER,User confirmed,1,human_verified,,HIGH
2013_worlds_montreal,open_doubles_net,22,,Yves Archambault,Carl-Antoine Boulay,MISSING_PARTNER,Yves Archambault confirmed,1,human_verified,Yves Archambault,HIGH
2013_worlds_montreal,open_doubles_net,31,,Jack Lentz,Pierre-Jacques Daigle,MISSING_PARTNER,User confirmed,1,human_verified,,HIGH
2013_worlds_montreal,open_mixed_doubles_net,7,,Dominic O'Brien,Marie-Lou Roy,MISSING_PARTNER,User confirmed,1,human_verified,,HIGH
2012_worlds_warsaw,open_doubles_routines,6,,Julian Sinnl / [UNKNOWN PARTNER],__REMOVE__,__REMOVE__,PHANTOM_ROW,Mirror source has only 5 placements — P6 does not exist,1,source_verified,,HIGH
2012_worlds_warsaw,open_doubles_routines,7,,Theodore Fritsch / [UNKNOWN PARTNER],__REMOVE__,__REMOVE__,PHANTOM_ROW,Mirror source has only 5 placements — P7 does not exist,1,source_verified,,HIGH
2008_worlds_prague,masters_doubles_net,5,,Steve Goldberg,Michael Stefanelli,MISSING_PARTNER,Mirror source: (scratched) Michael Stefanelli / Steve Goldberg,1,source_verified,,HIGH
2006_worlds_frankfurt,open_doubles_net,3,,Yves Archambault,Jean-Francois Lemieux,MISSING_PARTNER,Yves Archambault confirmed,1,human_verified,Yves Archambault,HIGH
2003_worlds_prague,intermediate_doubles_net,9,,Zahrer,Waldispuhl,MISSING_PARTNER,Mirror source: 9th ties — last names only,1,source_verified,,MEDIUM
2003_worlds_prague,intermediate_doubles_net,10,,Alexander Smirnov,Yulia Tikhomirova,MISSING_PARTNER,Mirror source: Smirnov/Tikhomirova — resolved from event context,1,source_verified,,HIGH
2003_worlds_prague,intermediate_doubles_net,11,,Oton Copi,Bostjan Kobe,MISSING_PARTNER,Mirror source: Copi/Kobe — resolved from PT,1,source_verified,,HIGH
2003_worlds_prague,intermediate_doubles_net,12,,Eurik Lindner,Markus Kapszak,MISSING_PARTNER,Mirror source: Lindner/Kaspczak — 29x co-occurrence confirms,1,source_verified,,HIGH
2003_worlds_prague,intermediate_doubles_net,13,,Ole Schnack,Vincent Rousseau,MISSING_PARTNER,Mirror source: Schnack/Rousseau — resolved from event context,1,source_verified,,HIGH
2003_worlds_prague,intermediate_doubles_net,14,,Johannes Korff,Hofer,MISSING_PARTNER,Mirror source: Korff/Hofer — Korff resolved from PT,1,source_verified,,MEDIUM
2003_worlds_prague,intermediate_doubles_net,15,,Ale Pelko,Kralj,MISSING_PARTNER,Mirror source: Pelko/Kralj — Pelko resolved from event,1,source_verified,,MEDIUM
