section,subsection,sort_order,category,division,year,rank,person_or_team,partner,score,note,event_date,event_name,location,source_ref
World Record Progression,Women's Singles Consecutive,603,Consecutive Kicks,Women's Singles,1984.0,,Tricia George,,2591.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Consecutive,604,Consecutive Kicks,Women's Singles,1985.0,,Tricia George,,12838.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Consecutive,605,Consecutive Kicks,Women's Singles,1987.0,,Francine Beaudry,,15458.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Consecutive,606,Consecutive Kicks,Women's Singles,1995.0,,Constance Constable,,17669.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Consecutive,607,Consecutive Kicks,Women's Singles,1995.0,,Constance Constable,,18936.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Consecutive,608,Consecutive Kicks,Women's Singles,1996.0,,Tricia George,,20717.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Consecutive,609,Consecutive Kicks,Women's Singles,1998.0,,Constance Constable,,24713.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),701,Consecutive Kicks,Open Singles Timed,1988.0,,Derrick Fogle,,757.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),702,Consecutive Kicks,Open Singles Timed,1989.0,,Gary Lautt,,773.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),703,Consecutive Kicks,Open Singles Timed,1990.0,,Gary Lautt,,850.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),704,Consecutive Kicks,Open Singles Timed,1991.0,,Gary Lautt,,865.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),705,Consecutive Kicks,Open Singles Timed,1991.0,,Ken Shults,,912.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),706,Consecutive Kicks,Open Singles Timed,1994.0,,Andy Linder,,944.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),707,Consecutive Kicks,Open Singles Timed,1995.0,,Andy Linder,,956.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),708,Consecutive Kicks,Open Singles Timed,1995.0,,Andy Linder,,967.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),709,Consecutive Kicks,Open Singles Timed,1995.0,,Andy Linder,,996.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),710,Consecutive Kicks,Open Singles Timed,1996.0,,Andy Linder,,997.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),711,Consecutive Kicks,Open Singles Timed,1996.0,,Andy Linder,,1017.0,,,,,fb-milestones.txt
World Record Progression,Open Singles Timed (5-Minute),712,Consecutive Kicks,Open Singles Timed,1996.0,,Andy Linder,,1019.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),801,Consecutive Kicks,Women's Singles Timed,1988.0,,Heather Cook,,631.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),802,Consecutive Kicks,Women's Singles Timed,1989.0,,Jody Welch,,644.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),803,Consecutive Kicks,Women's Singles Timed,1990.0,,Jody Welch,,665.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),804,Consecutive Kicks,Women's Singles Timed,1992.0,,Sam Conlon,,704.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),805,Consecutive Kicks,Women's Singles Timed,1993.0,,Sam Conlon,,711.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),806,Consecutive Kicks,Women's Singles Timed,1993.0,,Tricia George,,735.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),807,Consecutive Kicks,Women's Singles Timed,1993.0,,Tricia George,,747.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),808,Consecutive Kicks,Women's Singles Timed,1995.0,,Tricia George,,749.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),809,Consecutive Kicks,Women's Singles Timed,1995.0,,Tricia George,,761.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),810,Consecutive Kicks,Women's Singles Timed,1996.0,,Ida Fogle,,769.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),811,Consecutive Kicks,Women's Singles Timed,1996.0,,Ida Fogle,,784.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),812,Consecutive Kicks,Women's Singles Timed,1997.0,,Ida Fogle,,799.0,,,,,fb-milestones.txt
World Record Progression,Women's Singles Timed (5-Minute),813,Consecutive Kicks,Women's Singles Timed,1997.0,,Ida Fogle,,804.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,901,Consecutive Kicks,Open Doubles,1976.0,,Terry Pierson,Mike Montgomery,196.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,902,Consecutive Kicks,Open Doubles,1976.0,,Terry Pierson,John Stalberger,268.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,903,Consecutive Kicks,Open Doubles,1979.0,,Jack Schoolcraft,Will Winget,786.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,904,Consecutive Kicks,Open Doubles,1980.0,,Jack Schoolcraft,Will Winget,2069.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,905,Consecutive Kicks,Open Doubles,1982.0,,Jim Caveney,Gary Lautt,5665.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,906,Consecutive Kicks,Open Doubles,1983.0,,Jim Caveney,Gary Lautt,20921.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,907,Consecutive Kicks,Open Doubles,1986.0,,Jim Caveney,Gary Lautt,33333.0,Intentionally ended on that number,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,908,Consecutive Kicks,Open Doubles,1989.0,,Ted Martin,Andy Linder,64792.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,909,Consecutive Kicks,Open Doubles,1992.0,,Jim Caveney,Gary Lautt,75000.0,Intentionally ended on that number,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,910,Consecutive Kicks,Open Doubles,1992.0,,Ted Martin,Andy Linder,83453.0,,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,911,Consecutive Kicks,Open Doubles,1994.0,,Ted Martin,Andy Linder,100001.0,Intentionally ended on that number,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,912,Consecutive Kicks,Open Doubles,1995.0,,Gary Lautt,Tricia George,123456.0,Intentionally ended on that number,,,,fb-milestones.txt
World Record Progression,Open Doubles Consecutive,913,Consecutive Kicks,Open Doubles,1998.0,,Gary Lautt,Tricia George,132011.0,,,,,fb-milestones.txt
World Record Progression,Women's Doubles Consecutive,1001,Consecutive Kicks,Women's Doubles,1984.0,,Jodi Chandler,Tricia George,2462.0,,,,,fb-milestones.txt
