event_key,legacy_event_id,year,event_name,event_slug,start_date,end_date,city,region,country,host_club,event_type,status,notes,source
2005_footbagjam_frankfurt,1117746703,2005,6th Frankfurt Footbag Open,6th_frankfurt_footbag_open,2005-08-13,2005-08-14,Frankfurt,Hesse,Germany,SG Frankfurt Footbag e.V.,mixed,completed,,mirror
2005_de_france_de,1125936037,2005,7e Open de France de Footbag,7e_open_de_france_de_footbag,2005-11-11,2005-11-13,Paris,Île-de-France,France,Rien N'est Hacky - RNH Footbag,mixed,completed,,mirror
2005_eurochamp_wrocaw,1104851808,2005,7th Annual IFPA European Footbag Championships,7th_annual_ifpa_european_footbag_championships,2005-07-14,2005-07-17,Wrocław,Lower Silesian,Poland,PSF Polish Footbag Association,freestyle,completed,,mirror
2005_czech,1114277529,2005,Czech Footbag Championships,czech_footbag_championships,2005-08-26,2005-08-28,Prague,,Czech Republic,Czech Footbag Association,freestyle,completed,,mirror
2005_fc_footstars_anniversary,1100728799,2005,FC Footstar's 7th Anniversary,fc_footstars_7th_anniversary,2005-01-15,2005-01-16,Berlin,,Germany,FC Footstar Berlin e.V.,net,completed,,mirror
2005_finnish,1132511088,2005,Finnish Footbag Championships 2005,finnish_footbag_championships_2005,2005-12-02,2005-12-04,Kuopio,North Savo,Finland,Jyväskylän Footbag-klubi,mixed,completed,,mirror
2005_camp_croatia,1113844078,2005,Footbag Camp Croatia 2005,footbag_camp_croatia_2005,2005-08-05,2005-08-14,Baška Voda,Split-Dalmatia,Croatia,Czech Footbag Association,golf,no_results,,mirror
2005_fiesta,1102443443,2005,Footbag Fiesta,footbag_fiesta,2005-01-28,2005-01-29,Szczecin,West Pomeranian,Poland,ToMiStyKa Footbag Club,freestyle,completed,,mirror
2005_funtastik_summer,1109356644,2005,Funtastik Summer Classic,funtastik_summer_classic,2005-09-03,2005-09-05,Harrisburg,Pennsylvania,United States,,mixed,completed,,mirror
2005_greater_rochester_area,1111735438,2005,Greater Rochester Area Shred Symposium and RIT Juggle-IN,greater_rochester_area_shred_symposium_and_rit_juggle_in,2005-05-06,2005-05-08,Rochester,New York,United States,The Rochester Footbag Association,freestyle,completed,,mirror
2005_sun_city_spike,1124035486,2005,IFPA Sun City Spike,ifpa_sun_city_spike,2005-09-10,2005-09-11,Turku,Southwest Finland,Finland,Footcraft,net,completed,,mirror
