effective_person_id,person_canon,player_ids_seen,player_names_seen,aliases,alias_statuses,notes,source,person_canon_clean,person_canon_clean_reason,aliases_presentable,exclusion_reason,last_token,norm_key,legacyid
be45ae36-fd42-5677-8f12-850015d7bf53,Phil Donegan,7574e907-fc68-5543-8d8e-e0f043a40417,Phil Donegan,,,,overrides+data,Phil Donegan,,,,donegan,,
45c97f4f-9077-5585-8a83-a9d9a8829f12,Phil Lessard,4cac9dd6-a904-53c4-a735-57cd2bf98ba4,Phil Lessard,,,,overrides+data,Phil Lessard,,,,lessard,,
7d56e0ae-9f7d-50c5-9f37-85397556519d,Phil Madigan,d9c0212c-3459-5248-9c44-8f66b2b236e5,Phil Madigan,,,,overrides+data,Phil Madigan,,,,madigan,,
b97d3f68-c3d4-53b4-9b4e-3bf3b3e22fda,Phil Morrison,4fb5eece-5756-5cae-b854-d3317ccece26,Phil Morrison,,,,overrides+data,Phil Morrison,,,,morrison,,
6c952d6e-bf0d-5658-9bb3-9411e17eca44,Phil Nierstheimer,8966f521-f869-50fe-9ce5-593ce5dea345,Phil Nierstheimer,,,,overrides+data,Phil Nierstheimer,,,,nierstheimer,,
b417c6be-4655-5e10-98ba-bc3c06552892,Phil Norrod,3426fd53-8e43-52fa-a82e-04cc6117ca4e | f57d4090-8390-506c-92b2-7e073d886482,Phil Norrod,,,,overrides+data,Phil Norrod,,,,norrod,,
dfa427fa-4856-52a1-b3b8-12f55a372df7,Phil Summers,58328ae8-2a0e-5e51-932d-156f237174ef | 6378dd6f-2087-51c7-9f50-e9f6841e129a,Phil Summers,,,,overrides+data,Phil Summers,,,,summers,,
a14941cc-db4f-5c2f-8c0f-55db2c0ba7e1,Philip Morrison,58b2fd51-17f2-52aa-8629-ad793bad6481 | 59c1909a-dd3c-5205-9953-c8520dba84e9,Philip Morrison,,,,overrides+data,Philip Morrison,,,,morrison,,
eb0192e0-11ed-54e8-804a-0b751b5975e3,Philip Nierstheimer,902f4427-3208-5b97-bfef-e9029886f5d3,Philip Nierstheimer,,,,overrides+data,Philip Nierstheimer,,,,nierstheimer,,
50cbe690-5881-512c-8f73-c25839dc675b,Philip Schäfer,9d5b2d62-7681-5525-b1b4-24cf3ec462bf,Philip Schäfer,,,,overrides+data,Philip Schäfer,,,,schäfer,,
000b14dc-f6f0-58fd-96ea-af0a533c4f1a,Philip Wachmann,30ae6b7c-5c83-5a8a-8ff4-d66528727a14,Philip Wachmann,,,,overrides+data,Philip Wachmann,,,,wachmann,,
e186c253-96f5-51b3-94a7-0cd2f3ca2341,Philipp Hanak,592548c0-6cb1-5aa4-a256-ed2a3bd6292e,Philipp Hanak,,,,overrides+data,Philipp Hanak,,,,hanak,,
106972b3-35cb-5ba6-be76-029ecd98f688,Philipp Koncsek,84d1f897-9465-5714-ac76-9a8f2f410002,Philipp Koncsek,,,,overrides+data,Philipp Koncsek,,,,koncsek,,
