event_key,discipline_key,placement,participant_order,display_name,person_id,notes
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,30,2,Iisak Liukko,e0ff5af1-8b97-5b29-af49-1792c3746c0f,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,31,1,Christian Bock,6f69628f-6e43-53b9-91a6-0bff36dc6ee7,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,31,2,Marcin Staroń,21154756-b8d4-512e-872a-c5b206fac8d3,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,32,1,J-M Rytilahti,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,32,2,Justin Sexton,092d4205-dbd7-59e7-8ec4-53b306eb83b3,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,33,1,Henrik Martikainen,63b42121-63a4-5b68-a8b3-cceb8d6d4420,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,33,2,Janne Villikka,8cba711a-5cb2-5043-bb5b-b9a1540bdecb,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,34,1,Guillaume Degat,dad697e8-36ed-598e-84b3-8105a2868685,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,34,2,Robin Püchel,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,35,1,Ville Laakso,7444ebf8-86b3-5daf-b170-aebb4f0c8dbf,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,35,2,Mikko Poikonen,32be8cc7-0540-5b03-b64b-a54e297bd396,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,36,1,Sakarias Liukko,a7b5d479-6c69-58fe-be82-ecef17c80069,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,36,2,Petteri Petäinen,0db6a0c8-57d8-589f-8822-a5c544f5bbf6,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,37,1,Roman Belozerov,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_net,37,2,Arkady Lobankov,80696601-2e8f-54d7-8573-0e0d015bd5a9,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,1,1,P.T. Lovern,,
event_2011_32nd_ifpa_world_footbag_championships,mixed_doubles_net,1,2,Jody Welch,e333a5e6-3d76-513c-a9a4-f34c09c31b96,
