event_key,discipline_key,placement,score_text,notes,source
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,1,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,2,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,3,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,4,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,5,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,6,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,7,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,8,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,9,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,11,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,12,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,13,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,14,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,15,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,16,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,17,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,18,,,
event_2011_32nd_ifpa_world_footbag_championships,open_sick_3_trick_contest,19,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_routines,1,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_routines,2,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_routines,3,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_routines,4,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_routines,5,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_routines,6,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_routines,7,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_singles_routines,9,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_circle_contest,1,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_circle_contest,2,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_circle_contest,3,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_circle_contest,4,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_circle_contest,5,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_circle_contest,6,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_circle_contest,7,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_shred_30,1,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_shred_30,2,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_shred_30,3,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_shred_30,4,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_shred_30,5,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_shred_30,6,,,
event_2011_32nd_ifpa_world_footbag_championships,womens_shred_30,7,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_routines,1,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_routines,2,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_routines,3,,,
event_2011_32nd_ifpa_world_footbag_championships,open_doubles_routines,4,,,
event_2011_32nd_ifpa_world_footbag_championships,open_mixed_doubles_routines,1,,,
event_2011_32nd_ifpa_world_footbag_championships,open_mixed_doubles_routines,2,,,
event_2011_32nd_ifpa_world_footbag_championships,open_mixed_doubles_routines,3,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_routines,1,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_routines,2,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_routines,3,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_routines,4,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_singles_routines,5,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_shred_30,1,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_shred_30,2,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_shred_30,3,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_shred_30,4,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_request_contest,1,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_request_contest,2,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_request_contest,3,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_request_contest,4,,,
event_2011_32nd_ifpa_world_footbag_championships,intermediate_request_contest,6,,,
event_2011_32nd_ifpa_world_footbag_championships,open_2_square,1,,,
event_2011_32nd_ifpa_world_footbag_championships,open_2_square,2,,,
event_2011_32nd_ifpa_world_footbag_championships,open_2_square,3,,,
event_2011_32nd_ifpa_world_footbag_championships,open_2_square,4,,,
event_2011_32nd_ifpa_world_footbag_championships,open_2_square,5,,,
event_2011_32nd_ifpa_world_footbag_championships,open_2_square,9,,,
event_2011_32nd_ifpa_world_footbag_championships,open_2_square,12,,,
event_2011_32nd_ifpa_world_footbag_championships,open_2_square,20,,,
