section,subsection,sort_order,category,division,year,rank,person_or_team,partner,score,note,event_date,event_name,location
World Record Progression,Open Singles Timed (5-Minute),701,Consecutive Kicks,Open Singles Timed,1988,,Derrick Fogle,,757,,,,
World Record Progression,Open Singles Timed (5-Minute),702,Consecutive Kicks,Open Singles Timed,1989,,Gary Lautt,,773,,,,
World Record Progression,Open Singles Timed (5-Minute),703,Consecutive Kicks,Open Singles Timed,1990,,Gary Lautt,,850,,,,
World Record Progression,Open Singles Timed (5-Minute),704,Consecutive Kicks,Open Singles Timed,1991,,Gary Lautt,,865,,,,
World Record Progression,Open Singles Timed (5-Minute),705,Consecutive Kicks,Open Singles Timed,1991,,Ken Shults,,912,,,,
World Record Progression,Open Singles Timed (5-Minute),706,Consecutive Kicks,Open Singles Timed,1994,,Andy Linder,,944,,,,
World Record Progression,Open Singles Timed (5-Minute),707,Consecutive Kicks,Open Singles Timed,1995,,Andy Linder,,956,,,,
World Record Progression,Open Singles Timed (5-Minute),708,Consecutive Kicks,Open Singles Timed,1995,,Andy Linder,,967,,,,
World Record Progression,Open Singles Timed (5-Minute),709,Consecutive Kicks,Open Singles Timed,1995,,Andy Linder,,996,,,,
World Record Progression,Open Singles Timed (5-Minute),710,Consecutive Kicks,Open Singles Timed,1996,,Andy Linder,,997,,,,
World Record Progression,Open Singles Timed (5-Minute),711,Consecutive Kicks,Open Singles Timed,1996,,Andy Linder,,1017,,,,
World Record Progression,Open Singles Timed (5-Minute),712,Consecutive Kicks,Open Singles Timed,1996,,Andy Linder,,1019,,,,
World Record Progression,Women's Singles Timed (5-Minute),801,Consecutive Kicks,Women's Singles Timed,1988,,Heather Cook,,631,,,,
World Record Progression,Women's Singles Timed (5-Minute),802,Consecutive Kicks,Women's Singles Timed,1989,,Jody Welch,,644,,,,
World Record Progression,Women's Singles Timed (5-Minute),803,Consecutive Kicks,Women's Singles Timed,1990,,Jody Welch,,665,,,,
World Record Progression,Women's Singles Timed (5-Minute),804,Consecutive Kicks,Women's Singles Timed,1992,,Sam Conlon,,704,,,,
World Record Progression,Women's Singles Timed (5-Minute),805,Consecutive Kicks,Women's Singles Timed,1993,,Sam Conlon,,711,,,,
World Record Progression,Women's Singles Timed (5-Minute),806,Consecutive Kicks,Women's Singles Timed,1993,,Tricia George,,735,,,,
World Record Progression,Women's Singles Timed (5-Minute),807,Consecutive Kicks,Women's Singles Timed,1993,,Tricia George,,747,,,,
World Record Progression,Women's Singles Timed (5-Minute),808,Consecutive Kicks,Women's Singles Timed,1995,,Tricia George,,749,,,,
World Record Progression,Women's Singles Timed (5-Minute),809,Consecutive Kicks,Women's Singles Timed,1995,,Tricia George,,761,,,,
World Record Progression,Women's Singles Timed (5-Minute),810,Consecutive Kicks,Women's Singles Timed,1996,,Ida Fogle,,769,,,,
World Record Progression,Women's Singles Timed (5-Minute),811,Consecutive Kicks,Women's Singles Timed,1996,,Ida Fogle,,784,,,,
